,State,Agency Type,City,Population1,Crimes Against Persons,Crimes Against Property,Crimes Against Society,Crimes Against Persons,Kidnapping/ Abduction,Sex Offenses,"Sex Offenses, Nonforcible",Burglary/ Breaking & Entering,Destruction/ Damage/ Vandalism,Fraud Offenses,Credit Card/ Automated Teller Machine Fraud,Theft From Building,Motor Vehicle Theft,Robbery,Stolen Property Offenses ,Drug/ Narcotic Violations,Weapon Law Violations
0,ALABAMA,Cities,Hoover,82332.0,899,2880.0,525.0,870,2.0,25.0,2.0,391.0,280.0,202.0,109.0,410.0,88.0,46.0,29.0,339.0,26.0
1,ARIZONA,Cities,Apache Junction,36986.0,611,1748.0,334.0,559,14.0,35.0,2.0,237.0,447.0,162.0,62.0,12.0,68.0,21.0,28.0,152.0,25.0
2,ARIZONA,Cities,Gilbert,214264.0,"1,396",6610.0,2160.0,"1,242",54.0,79.0,16.0,728.0,2303.0,486.0,150.0,96.0,171.0,59.0,100.0,979.0,75.0
3,ARIZONA,Metropolitan Counties,Yuma2,5227.0,661,1890.0,484.0,555,17.0,39.0,24.0,363.0,542.0,192.0,48.0,13.0,75.0,10.0,24.0,208.0,40.0
4,ARKANSAS,Cities,Alma,5439.0,202,507.0,71.0,197,1.0,4.0,2.0,99.0,97.0,13.0,10.0,39.0,7.0,1.0,9.0,44.0,4.0
5,ARKANSAS,Cities,Arkadelphia,10698.0,290,609.0,52.0,274,4.0,7.0,2.0,106.0,97.0,34.0,15.0,50.0,7.0,3.0,2.0,37.0,8.0
6,ARKANSAS,Cities,Ashdown,4680.0,79,220.0,34.0,72,1.0,5.0,1.0,32.0,52.0,2.0,6.0,7.0,4.0,1.0,3.0,26.0,2.0
7,ARKANSAS,Cities,Atkins,3057.0,22,118.0,3.0,22,2.0,6.0,2.0,30.0,14.0,3.0,1.0,10.0,4.0,3.0,2.0,3.0,4.0
8,ARKANSAS,Cities,Austin,2076.0,15,60.0,46.0,14,2.0,1.0,2.0,20.0,10.0,1.0,1.0,2.0,6.0,3.0,3.0,25.0,2.0
9,ARKANSAS,Cities,Bald Knob,2950.0,72,221.0,25.0,71,2.0,1.0,2.0,36.0,36.0,3.0,3.0,17.0,10.0,1.0,15.0,20.0,4.0
10,ARKANSAS,Cities,Barling,4718.0,61,103.0,281.0,56,2.0,3.0,2.0,12.0,9.0,12.0,9.0,15.0,1.0,3.0,8.0,140.0,13.0
11,ARKANSAS,Cities,Bay,1845.0,15,54.0,22.0,15,2.0,6.0,2.0,12.0,12.0,1.0,1.0,2.0,6.0,3.0,3.0,14.0,2.0
12,ARKANSAS,Cities,Bearden,961.0,13,46.0,2.0,12,2.0,1.0,2.0,13.0,9.0,1.0,1.0,13.0,1.0,1.0,3.0,2.0,4.0
13,ARKANSAS,Cities,Beebe,7449.0,247,420.0,80.0,242,2.0,4.0,1.0,64.0,82.0,29.0,19.0,22.0,13.0,3.0,19.0,44.0,10.0
14,ARKANSAS,Cities,Bella Vista,27310.0,104,390.0,185.0,93,3.0,7.0,2.0,90.0,81.0,18.0,11.0,59.0,3.0,3.0,9.0,109.0,9.0
15,ARKANSAS,Cities,Benton,31486.0,620,2013.0,280.0,597,3.0,17.0,3.0,228.0,328.0,108.0,94.0,59.0,90.0,23.0,24.0,166.0,20.0
16,ARKANSAS,Cities,Bentonville,36433.0,362,1175.0,629.0,309,10.0,40.0,1.0,154.0,203.0,78.0,41.0,13.0,26.0,5.0,35.0,328.0,24.0
17,ARKANSAS,Cities,Berryville,5389.0,101,323.0,26.0,86,2.0,15.0,2.0,68.0,18.0,11.0,7.0,1.0,19.0,3.0,3.0,18.0,2.0
18,ARKANSAS,Cities,Blytheville,15506.0,771,1774.0,106.0,741,3.0,19.0,2.0,475.0,426.0,76.0,34.0,6.0,51.0,39.0,1.0,69.0,33.0
19,ARKANSAS,Cities,Booneville,3993.0,77,179.0,40.0,71,3.0,3.0,2.0,30.0,31.0,7.0,5.0,12.0,3.0,1.0,6.0,22.0,4.0
20,ARKANSAS,Cities,Bradford,774.0,29,36.0,7.0,29,2.0,6.0,2.0,3.0,8.0,6.0,3.0,13.0,1.0,3.0,3.0,2.0,1.0
21,ARKANSAS,Cities,Brinkley,3171.0,34,154.0,0.0,32,2.0,2.0,2.0,44.0,23.0,13.0,6.0,13.0,3.0,5.0,1.0,25.0,4.0
22,ARKANSAS,Cities,Bryant,17129.0,179,1304.0,123.0,170,3.0,6.0,2.0,179.0,134.0,107.0,65.0,13.0,34.0,11.0,23.0,81.0,8.0
23,ARKANSAS,Cities,Bull Shoals,1947.0,17,48.0,18.0,16,2.0,1.0,2.0,5.0,6.0,13.0,6.0,5.0,6.0,3.0,1.0,9.0,1.0
24,ARKANSAS,Cities,Cabot,24212.0,439,1823.0,152.0,420,1.0,18.0,2.0,483.0,269.0,84.0,56.0,144.0,48.0,6.0,44.0,83.0,13.0
25,ARKANSAS,Cities,Caddo Valley,632.0,19,67.0,30.0,19,2.0,6.0,2.0,15.0,7.0,1.0,1.0,5.0,6.0,1.0,2.0,24.0,4.0
26,ARKANSAS,Cities,Camden,12118.0,341,843.0,35.0,334,2.0,5.0,1.0,178.0,160.0,14.0,7.0,17.0,7.0,9.0,1.0,27.0,6.0
27,ARKANSAS,Cities,Cammack Village,779.0,22,58.0,4.0,21,2.0,1.0,2.0,24.0,4.0,1.0,6.0,5.0,6.0,3.0,1.0,2.0,1.0
28,ARKANSAS,Cities,Carlisle,2254.0,23,96.0,8.0,22,2.0,1.0,2.0,24.0,5.0,2.0,1.0,7.0,1.0,2.0,9.0,4.0,2.0
29,ARKANSAS,Cities,Cave City,1923.0,16,53.0,2.0,16,2.0,6.0,2.0,9.0,4.0,5.0,4.0,12.0,6.0,3.0,1.0,2.0,4.0
30,ARKANSAS,Cities,Cave Springs,1785.0,6,33.0,0.0,4,2.0,2.0,2.0,13.0,4.0,13.0,6.0,4.0,6.0,3.0,3.0,25.0,4.0
31,ARKANSAS,Cities,Charleston,2492.0,25,44.0,3.0,24,2.0,1.0,2.0,9.0,6.0,5.0,5.0,2.0,6.0,1.0,3.0,2.0,1.0
32,ARKANSAS,Cities,Cherokee Village,4735.0,32,219.0,28.0,30,2.0,1.0,1.0,46.0,51.0,15.0,3.0,13.0,4.0,3.0,3.0,16.0,1.0
33,ARKANSAS,Cities,Clarendon,1655.0,23,52.0,4.0,22,2.0,6.0,2.0,7.0,15.0,13.0,6.0,1.0,3.0,1.0,1.0,3.0,4.0
34,ARKANSAS,Cities,Clarksville,9286.0,220,822.0,57.0,215,2.0,5.0,2.0,122.0,104.0,70.0,54.0,126.0,3.0,3.0,13.0,38.0,6.0
35,ARKANSAS,Cities,Clinton,2580.0,9,77.0,2.0,9,2.0,6.0,2.0,16.0,2.0,9.0,9.0,16.0,3.0,3.0,3.0,2.0,4.0
36,ARKANSAS,Cities,Conway,60700.0,"1,755",4022.0,789.0,"1,704",12.0,36.0,2.0,417.0,793.0,310.0,181.0,10.0,105.0,79.0,52.0,569.0,50.0
37,ARKANSAS,Cities,Corning,3348.0,26,77.0,43.0,26,2.0,6.0,2.0,22.0,16.0,3.0,1.0,7.0,2.0,1.0,1.0,33.0,2.0
38,ARKANSAS,Cities,Crossett,5487.0,82,540.0,37.0,79,2.0,2.0,2.0,117.0,112.0,29.0,14.0,13.0,5.0,6.0,2.0,27.0,9.0
39,ARKANSAS,Cities,Danville,2405.0,20,29.0,13.0,19,2.0,6.0,2.0,6.0,3.0,1.0,6.0,1.0,1.0,3.0,1.0,12.0,1.0
40,ARKANSAS,Cities,Dardanelle,4738.0,119,289.0,13.0,112,2.0,7.0,2.0,98.0,38.0,19.0,8.0,6.0,3.0,6.0,5.0,9.0,3.0
41,ARKANSAS,Cities,Decatur,1752.0,25,60.0,2.0,19,1.0,5.0,2.0,19.0,9.0,4.0,6.0,7.0,3.0,3.0,2.0,1.0,4.0
42,ARKANSAS,Cities,De Queen,6708.0,72,285.0,61.0,62,4.0,6.0,2.0,56.0,19.0,12.0,12.0,20.0,2.0,1.0,7.0,34.0,2.0
43,ARKANSAS,Cities,De Witt,3282.0,79,182.0,64.0,74,2.0,3.0,2.0,32.0,37.0,6.0,4.0,19.0,1.0,2.0,5.0,38.0,10.0
44,ARKANSAS,Cities,Diaz,1313.0,22,33.0,2.0,22,2.0,6.0,2.0,11.0,5.0,13.0,6.0,5.0,3.0,3.0,1.0,2.0,4.0
45,ARKANSAS,Cities,Dumas,4635.0,56,144.0,21.0,53,2.0,3.0,2.0,61.0,1.0,1.0,1.0,22.0,9.0,5.0,1.0,11.0,9.0
46,ARKANSAS,Cities,Earle,2405.0,57,169.0,4.0,57,2.0,6.0,2.0,41.0,37.0,3.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0
47,ARKANSAS,Cities,El Dorado,18860.0,575,1678.0,96.0,559,3.0,10.0,1.0,429.0,327.0,69.0,32.0,1.0,35.0,29.0,3.0,73.0,13.0
48,ARKANSAS,Cities,Elkins,2718.0,16,23.0,12.0,14,1.0,1.0,2.0,4.0,3.0,13.0,6.0,5.0,1.0,3.0,3.0,10.0,4.0
49,ARKANSAS,Cities,Eudora,2261.0,37,33.0,0.0,36,2.0,1.0,2.0,1.0,10.0,13.0,6.0,2.0,6.0,1.0,3.0,25.0,4.0
50,ARKANSAS,Cities,Eureka Springs,2082.0,51,134.0,23.0,49,2.0,2.0,2.0,20.0,27.0,7.0,7.0,8.0,2.0,3.0,3.0,14.0,4.0
51,ARKANSAS,Cities,Fairfield Bay,2319.0,23,62.0,3.0,23,2.0,6.0,2.0,17.0,2.0,3.0,1.0,15.0,6.0,3.0,3.0,3.0,4.0
52,ARKANSAS,Cities,Farmington,6133.0,115,149.0,30.0,104,2.0,9.0,2.0,29.0,29.0,1.0,1.0,29.0,1.0,3.0,1.0,20.0,3.0
53,ARKANSAS,Cities,Fayetteville,75387.0,"1,737",4680.0,851.0,"1,631",32.0,71.0,1.0,515.0,998.0,303.0,161.0,816.0,128.0,40.0,76.0,476.0,40.0
54,ARKANSAS,Cities,Flippin,1354.0,37,103.0,120.0,33,2.0,4.0,2.0,20.0,18.0,1.0,1.0,14.0,6.0,1.0,1.0,97.0,1.0
55,ARKANSAS,Cities,Fordyce,4295.0,131,263.0,16.0,121,1.0,7.0,2.0,69.0,21.0,6.0,5.0,15.0,7.0,7.0,2.0,12.0,3.0
56,ARKANSAS,Cities,Forrest City,15295.0,703,1813.0,109.0,677,3.0,17.0,2.0,355.0,458.0,15.0,6.0,279.0,32.0,38.0,7.0,91.0,11.0
57,ARKANSAS,Cities,Fort Smith,87483.0,"2,761",7066.0,1449.0,"2,577",31.0,144.0,4.0,1077.0,1309.0,495.0,174.0,504.0,196.0,95.0,29.0,924.0,102.0
58,ARKANSAS,Cities,Gassville,2087.0,11,38.0,14.0,9,2.0,2.0,2.0,5.0,2.0,13.0,6.0,8.0,1.0,3.0,1.0,11.0,1.0
59,ARKANSAS,Cities,Gentry,3260.0,34,45.0,5.0,32,2.0,2.0,2.0,8.0,2.0,5.0,1.0,3.0,3.0,3.0,1.0,4.0,4.0
60,ARKANSAS,Cities,Glenwood,2228.0,26,102.0,31.0,24,2.0,2.0,2.0,21.0,9.0,7.0,2.0,12.0,6.0,3.0,11.0,18.0,1.0
61,ARKANSAS,Cities,Gravette,2400.0,38,84.0,33.0,35,2.0,3.0,2.0,6.0,15.0,1.0,1.0,5.0,7.0,3.0,2.0,20.0,1.0
62,ARKANSAS,Cities,Green Forest,2779.0,66,165.0,37.0,57,2.0,9.0,2.0,34.0,36.0,3.0,3.0,17.0,2.0,2.0,3.0,27.0,4.0
63,ARKANSAS,Cities,Greenland,1292.0,23,42.0,17.0,21,2.0,2.0,2.0,9.0,8.0,5.0,6.0,3.0,2.0,3.0,3.0,9.0,1.0
64,ARKANSAS,Cities,Greenwood,9086.0,91,125.0,47.0,89,2.0,1.0,1.0,38.0,9.0,5.0,6.0,6.0,1.0,3.0,3.0,29.0,5.0
65,ARKANSAS,Cities,Greers Ferry,892.0,11,49.0,8.0,11,2.0,6.0,2.0,8.0,14.0,1.0,1.0,11.0,6.0,3.0,1.0,4.0,1.0
66,ARKANSAS,Cities,Gurdon,2205.0,55,75.0,5.0,54,2.0,1.0,2.0,17.0,18.0,1.0,1.0,6.0,3.0,3.0,1.0,3.0,2.0
67,ARKANSAS,Cities,Guy,732.0,6,27.0,6.0,6,2.0,6.0,2.0,8.0,1.0,13.0,6.0,1.0,2.0,3.0,1.0,5.0,1.0
68,ARKANSAS,Cities,Hamburg,2883.0,49,73.0,11.0,48,2.0,6.0,2.0,16.0,12.0,6.0,4.0,13.0,6.0,1.0,3.0,7.0,4.0
69,ARKANSAS,Cities,Hampton,1273.0,24,42.0,10.0,20,1.0,2.0,2.0,5.0,11.0,1.0,1.0,1.0,2.0,3.0,1.0,7.0,2.0
70,ARKANSAS,Cities,Hardy,780.0,15,70.0,7.0,12,2.0,3.0,2.0,15.0,7.0,2.0,6.0,2.0,3.0,1.0,2.0,6.0,4.0
71,ARKANSAS,Cities,Harrisburg,2292.0,52,186.0,15.0,49,2.0,1.0,2.0,45.0,37.0,1.0,6.0,6.0,3.0,1.0,5.0,12.0,4.0
72,ARKANSAS,Cities,Harrison,13043.0,324,1145.0,318.0,300,5.0,17.0,2.0,159.0,175.0,89.0,30.0,51.0,29.0,1.0,29.0,152.0,32.0
73,ARKANSAS,Cities,Heber Springs,7173.0,203,472.0,71.0,196,2.0,7.0,2.0,104.0,93.0,16.0,11.0,28.0,11.0,3.0,41.0,44.0,3.0
74,ARKANSAS,Cities,Helena-West Helena,12152.0,647,1650.0,225.0,627,7.0,11.0,1.0,475.0,433.0,39.0,19.0,80.0,31.0,26.0,70.0,149.0,61.0
75,ARKANSAS,Cities,Highland,1056.0,13,29.0,16.0,13,2.0,6.0,2.0,10.0,2.0,13.0,6.0,3.0,6.0,3.0,2.0,15.0,1.0
76,ARKANSAS,Cities,Hope,10103.0,411,959.0,44.0,384,2.0,25.0,1.0,229.0,172.0,28.0,14.0,28.0,26.0,13.0,3.0,36.0,6.0
77,ARKANSAS,Cities,Horseshoe Bend,2146.0,16,56.0,11.0,15,2.0,1.0,2.0,16.0,7.0,13.0,6.0,7.0,1.0,3.0,3.0,9.0,1.0
78,ARKANSAS,Cities,Hot Springs,35722.0,637,3937.0,245.0,601,1.0,20.0,4.0,618.0,551.0,142.0,63.0,17.0,115.0,55.0,3.0,131.0,37.0
79,ARKANSAS,Cities,Jacksonville,28733.0,"1,240",2763.0,622.0,"1,201",2.0,34.0,1.0,346.0,735.0,140.0,60.0,368.0,72.0,34.0,55.0,358.0,57.0
80,ARKANSAS,Cities,Jonesboro,68807.0,"1,401",5851.0,937.0,"1,334",15.0,47.0,1.0,1174.0,923.0,305.0,223.0,568.0,114.0,79.0,123.0,656.0,54.0
